category,price_elasticity,p_value,r_squared,n_obs,significant,avg_price,total_sales,avg_review,avg_freight,cluster,cluster_name
kitchen_dining_laundry_garden_furniture,0.3812362747798621,0.4492527305285281,0.25983781341270795,20,False,91.4,273,4.148800032204638,28.847499999999997,0,Heavy-Freight Specialists
fashion_shoes,0.5532099357731238,0.20068020557117555,0.3439944929252088,20,False,84.9,255,4.3433998394181454,17.65,2,Quality Niche
fashio_female_clothing,0.5606449776117897,0.0026537114574993253,0.796510979106873,15,True,51.95,44,3.7333333333333334,12.755,3,Conversion Risk
home_appliances_2,0.5974965568030941,0.005399441159313115,0.6467134392222409,20,True,214.2225,230,4.085826211355387,34.085,0,Heavy-Freight Specialists
construction_tools_construction,0.6892912106262208,0.6784199512587767,0.2908242239066847,18,False,89.3725,909,4.150637858217092,16.8575,1,Volume Leaders
art,0.7112851034528725,0.16591178319081806,0.37655362696126027,18,False,87.4,197,4.21953823514711,15.5975,2,Quality Niche
telephony,0.7927627907439354,0.1749998778848272,0.5213847133358063,20,False,29.9625,4394,4.051245731718943,15.1,1,Volume Leaders
tablets_printing_image,0.8297805960132048,0.19106344842342401,0.1985477943859859,17,False,99.0,83,4.226212023270847,14.8,2,Quality Niche
luggage_accessories,0.9574190220655128,0.23316020425115153,0.5409774559023266,20,False,100.2425,1073,4.38974056351347,17.945,1,Volume Leaders
toys,0.994813364810712,0.28576213708329223,0.28392861639753886,20,False,77.4475,3971,4.258735593912719,15.9375,1,Volume Leaders
baby,1.0006703545910702,0.07643776931001037,0.6526881168472535,20,False,71.995,2962,4.122958868411091,16.57,1,Volume Leaders
health_beauty,1.244052273945326,0.25986772485277154,0.6179834901230733,20,False,79.45,9392,4.191447921163939,15.629999999999999,1,Volume Leaders
computers_accessories,1.735951745978015,0.0030804561174500897,0.6685419755635968,20,True,79.9,7610,4.066420002624538,15.895,1,Volume Leaders
sports_leisure,2.45005727491135,0.09665119340265284,0.3400968507372423,20,False,72.9,8397,4.208389739822321,16.155,1,Volume Leaders
